Date,Day,Predicted_Balance,Lower_CI_95,Lower_CI_90,Lower_CI_80,Upper_CI_80,Upper_CI_90,Upper_CI_95,Daily_Change,Cumulative_Change,Weekly_Change
2024-12-04,1,0.6960847,0.5311033,0.5517531,0.58801204,0.8023745,0.83247054,0.85485727,,0.0,
2024-12-05,2,0.7050942,0.39901698,0.46131554,0.5225869,0.8954414,0.96587324,1.0360296,0.00900954,0.00900954,
2024-12-06,3,0.7275883,0.42505983,0.48432466,0.53445035,0.9328634,1.0037802,1.0426968,0.022494078,0.031503618,
2024-12-07,4,0.71774715,0.546442,0.5707311,0.60464853,0.83570415,0.872888,0.90767926,-0.009841144,0.021662474,
2024-12-08,5,0.72234434,0.59580415,0.61572915,0.63760436,0.8034044,0.8247899,0.8424412,0.004597187,0.02625966,
2024-12-09,6,0.7074115,0.605005,0.6255493,0.64250827,0.7699976,0.7910842,0.8132495,-0.014932811,0.011326849,
2024-12-10,7,0.6713578,0.5724567,0.58507735,0.6064926,0.7367605,0.75613517,0.76521933,-0.036053717,-0.024726868,
2024-12-11,8,0.6583402,0.5198038,0.5435527,0.57231283,0.74883115,0.7700533,0.79086435,-0.013017595,-0.037744462,-0.037744462
2024-12-12,9,0.6267881,0.45149565,0.4748335,0.5016642,0.7447389,0.77978975,0.8135185,-0.031552136,-0.0692966,-0.07830614
2024-12-13,10,0.6026817,0.340557,0.37518176,0.43082514,0.78845817,0.8271898,0.8752849,-0.024106383,-0.09340298,-0.1249066
2024-12-14,11,0.56356126,0.27280983,0.31432942,0.37390262,0.7502222,0.80181265,0.8429367,-0.039120436,-0.13252342,-0.15418589
2024-12-15,12,0.54955524,0.33031657,0.37406513,0.40909976,0.6920121,0.7346179,0.76970303,-0.014006019,-0.14652944,-0.1727891
2024-12-16,13,0.5209022,0.32016808,0.34888107,0.39226875,0.6450038,0.6819824,0.702316,-0.028653026,-0.17518246,-0.18650931
2024-12-17,14,0.5011464,0.3176875,0.34756067,0.38484868,0.62063825,0.655659,0.69097733,-0.01975584,-0.1949383,-0.17021143
2024-12-18,15,0.4800052,0.260502,0.29834348,0.33595535,0.6197737,0.6680869,0.7061425,-0.021141171,-0.21607947,-0.17833501
2024-12-19,16,0.46719915,0.22604102,0.26949304,0.31721255,0.6233891,0.66410035,0.70613325,-0.012806058,-0.22888553,-0.15958893
2024-12-20,17,0.44972882,0.14176318,0.18089102,0.23915641,0.6597403,0.7072563,0.7661027,-0.01747033,-0.24635586,-0.15295288
2024-12-21,18,0.42577684,0.10834703,0.1632488,0.21382372,0.63851035,0.7054452,0.76130867,-0.023951977,-0.27030784,-0.13778442
2024-12-22,19,0.4705527,-0.37504926,-0.24145879,-0.09067952,1.0048671,1.1869789,1.3161705,0.044775873,-0.22553197,-0.07900253
2024-12-23,20,0.5348039,-0.4102759,-0.22278936,-0.09986581,1.1628069,1.350827,1.5375867,0.064251214,-0.16128075,0.0139017105
2024-12-24,21,0.58838636,-0.3303963,-0.21727161,-0.060205564,1.2305177,1.4423511,1.5607842,0.05358243,-0.10769832,0.08723998
2024-12-25,22,0.68110937,0.10537155,0.19366495,0.30742356,1.0571003,1.1766651,1.2515253,0.09272301,-0.014975309,0.20110416
2024-12-26,23,0.7390106,0.13860688,0.23328795,0.34462714,1.1344943,1.244208,1.3303654,0.057901204,0.042925894,0.27181143
2024-12-27,24,0.76637065,0.22502884,0.33310333,0.4250882,1.1137984,1.201856,1.2889413,0.027360082,0.070285976,0.31664184
2024-12-28,25,0.82102716,0.41322523,0.47455,0.5492808,1.0915898,1.1597229,1.2158754,0.054656506,0.12494248,0.39525032
2024-12-29,26,0.8433216,0.6318004,0.6711115,0.70560765,0.9830057,1.0263656,1.067173,0.022294462,0.14723694,0.3727689
2024-12-30,27,0.84054446,0.58324796,0.6281157,0.6830816,1.0087769,1.0575403,1.082734,-0.0027771592,0.14445978,0.30574054
2024-12-31,28,0.8115697,0.5098673,0.55281484,0.604436,1.0136875,1.0757478,1.1198937,-0.028974771,0.11548501,0.22318333
2025-01-01,29,0.7589957,0.40164584,0.45712242,0.53123754,0.99262774,1.0548433,1.0947675,-0.05257398,0.06291103,0.07788634
2025-01-02,30,0.7089707,0.465715,0.5094201,0.55358416,0.87137014,0.9155189,0.95298314,-0.050024986,0.012886047,-0.030039847
