Date,Forecast_Balance,Forecast_Balance_Actual
2024-12-04,0.6960847,117215.02
2024-12-05,0.7050942,118731.055
2024-12-06,0.7275883,122516.125
2024-12-07,0.71774715,120860.16
2024-12-08,0.72234434,121633.73
2024-12-09,0.7074115,119120.984
2024-12-10,0.6713578,113054.24
2024-12-11,0.6583402,110863.78
2024-12-12,0.6267881,105554.516
2024-12-13,0.6026817,101498.15
2024-12-14,0.56356126,94915.37
2024-12-15,0.54955524,92558.586
2024-12-16,0.5209022,87737.15
2024-12-17,0.5011464,84412.84
2024-12-18,0.4800052,80855.43
2024-12-19,0.46719915,78700.56
2024-12-20,0.44972882,75760.836
2024-12-21,0.42577684,71730.445
2024-12-22,0.4705527,79264.87
2024-12-23,0.5348039,90076.38
2024-12-24,0.58838636,99092.68
2024-12-25,0.68110937,114695.13
2024-12-26,0.7390106,124438.14
2024-12-27,0.76637065,129042.01
2024-12-28,0.82102716,138239.05
2024-12-29,0.8433216,141990.52
2024-12-30,0.84054446,141523.2
2024-12-31,0.8115697,136647.64
2025-01-01,0.7589957,127801.03
2025-01-02,0.7089707,119383.35
